station,time,S_log,T_log,Y_log,CO2_3,AirTemp_3,Patm_3,WindSpeed,CO2_SO2
ME02,2008-04-17 05:00:00+00:00,3.4204243041051127e-07,1.1354322406720963e-05,5.160422801008762e-07,0.130299,13.834637,953.418844,32.377049,9.9
ME02,2008-04-17 06:00:00+00:00,3.707926337259198e-07,1.593986264669762e-05,5.415393553447413e-07,0.138327,15.041007,953.976731,47.95082,10.158333333333333
ME02,2008-04-17 07:00:00+00:00,3.861461460610514e-07,1.931695305550313e-05,5.528534861664485e-07,0.141839,15.989891,954.105474,35.655738,10.158333333333333
ME02,2008-04-17 08:00:00+00:00,3.588708906954519e-07,1.2756454312665021e-05,5.256102514135677e-07,0.138327,17.482357,954.405874,19.262295,10.158333333333333
ME02,2008-04-17 09:00:00+00:00,3.5265824324397393e-07,1.5564062757359665e-05,6.104084239920482e-07,0.125783,15.093458,953.633416,4.098361,10.158333333333333
ME02,2008-04-17 10:00:00+00:00,4.090657119550352e-07,2.163195565288558e-05,9.363848770808487e-07,0.138327,12.485218,953.161358,6.967213,10.158333333333333
ME02,2008-04-17 11:00:00+00:00,4.0093580298955334e-07,8.65762162738603e-05,1.429726927465444e-06,0.138828,11.979783,952.474728,0.409836,10.158333333333333
ME02,2008-04-17 12:00:00+00:00,3.920787089099421e-07,3.585415477796318e-05,1.4697906134155735e-06,0.125783,11.46481,951.730879,7.786885,10.416666666666668
ME02,2008-04-17 13:00:00+00:00,3.0810090540585643e-07,1.9423032449650606e-05,6.589548022156476e-07,0.146857,10.711425,951.230212,26.639344,10.416666666666668
ME02,2008-04-17 14:00:00+00:00,3.8729784686608076e-07,3.990006884497975e-05,5.552990204026363e-07,0.14786,11.131032,950.514972,19.672131,10.416666666666668
ME02,2008-04-17 15:00:00+00:00,3.5614454091342134e-07,4.475765002006173e-05,4.520302890660508e-07,0.142341,11.412359,950.314705,12.295082,10.416666666666668
ME02,2008-04-17 16:00:00+00:00,2.3260177806694538e-07,1.2185376932236543e-05,2.500325121216748e-07,0.142843,12.518596,949.771123,4.918033,10.416666666666668
ME02,2008-04-17 17:00:00+00:00,2.11795734216456e-07,1.5158961492941374e-05,1.9439372154831728e-07,0.142341,11.016594,948.941446,14.344262,10.416666666666668
ME02,2008-04-17 18:00:00+00:00,2.1199490908290653e-07,1.5211901392076505e-05,1.7922659339650348e-07,0.138327,9.876979,948.784093,0.0,10.675
ME02,2008-04-17 19:00:00+00:00,1.9568118810563045e-07,1.2616801148192499e-05,9.27441114043119e-08,0.138327,9.438299,949.270456,20.901639,10.675
ME02,2008-04-17 20:00:00+00:00,1.6942708125501518e-07,1.64297287927415e-05,6.952923147365552e-08,0.134313,9.385848,950.143048,8.606557,10.675
ME02,2008-04-17 21:00:00+00:00,1.6201974398269198e-07,1.3900663803100026e-05,6.621640808176144e-08,0.142341,9.581347,949.485028,9.836066,10.675
ME02,2008-04-17 22:00:00+00:00,1.6409388441552754e-07,1.561370879558282e-05,6.896730200917341e-08,0.134313,9.457372,949.527942,0.0,10.675
ME02,2008-04-17 23:00:00+00:00,1.6457277843860135e-07,1.5914203809479253e-05,6.834317385579975e-08,0.142341,9.261873,949.184627,3.688525,10.675
ME02,2008-04-18 00:00:00+00:00,1.6518129412242118e-07,1.5905305345033123e-05,7.238741964048302e-08,0.141839,9.500286,948.769788,0.0,10.933333333333334
ME02,2008-04-18 01:00:00+00:00,1.692038371989191e-07,1.640495112413006e-05,7.373282189649691e-08,0.145853,8.751669,948.168987,0.0,10.933333333333334
ME02,2008-04-18 02:00:00+00:00,1.6522165243552886e-07,1.5040101865071057e-05,7.30065613862686e-08,0.150871,8.184246,947.596796,0.0,10.933333333333334
ME02,2008-04-18 03:00:00+00:00,1.6342893016925435e-07,1.573247048276149e-05,7.204741127598997e-08,0.141839,8.641999,947.63971,0.409836,10.933333333333334
ME02,2008-04-18 04:00:00+00:00,1.6632442710726612e-07,1.5416208082225783e-05,7.367125296191085e-08,0.146355,8.408354,947.582491,0.0,10.933333333333334
ME02,2008-04-18 05:00:00+00:00,1.602463776654487e-07,1.5670386968462635e-05,6.959106633735682e-08,0.137825,10.625596,947.96872,18.442623,10.933333333333334
ME02,2008-04-18 06:00:00+00:00,1.5014328591101067e-07,1.5071334074241773e-05,6.791928641895056e-08,0.149867,12.995422,948.769788,0.0,11.191666666666666
ME02,2008-04-18 07:00:00+00:00,1.721191030052622e-07,3.092032759198917e-05,8.700672617177466e-08,0.142843,16.562083,949.127408,2.459016,11.191666666666666
ME02,2008-04-18 08:00:00+00:00,1.9116847914326215e-07,5.926988023728631e-05,8.692140780718563e-08,0.137825,18.779325,949.842647,0.0,11.191666666666666
ME02,2008-04-18 09:00:00+00:00,1.6601716565544028e-07,3.862404475664979e-05,7.781658346277332e-08,0.142843,18.269121,950.200267,26.229508,11.191666666666666
ME02,2008-04-18 10:00:00+00:00,1.1634261553057873e-07,6.155407828545773e-05,5.967621952096547e-08,0.155386,19.771123,950.314705,62.295082,11.191666666666666
ME02,2008-04-18 11:00:00+00:00,7.746197190419306e-08,3.698032180277418e-05,4.562391994600273e-08,0.151372,19.80927,950.257486,111.47541,11.191666666666666
ME02,2008-04-18 12:00:00+00:00,6.241751017679807e-08,2.8495597926271836e-05,4.9374788589133354e-08,0.16492,19.923708,950.185962,105.327869,11.45
ME02,2008-04-18 13:00:00+00:00,7.244751844716238e-08,2.723616525596192e-05,2.835808807407992e-08,0.140334,21.249285,950.171657,84.016393,11.45
ME02,2008-04-18 14:00:00+00:00,7.11234678209544e-08,1.864189330691639e-05,2.7980375865520937e-08,0.127288,21.797635,949.942781,39.754098,11.45
ME02,2008-04-18 15:00:00+00:00,9.589006011787922e-08,1.682092407757991e-05,5.007971606006495e-08,0.128292,20.853519,949.756819,61.47541,11.45
ME02,2008-04-18 16:00:00+00:00,1.35563158885519e-07,1.1816484138526669e-05,5.917186374107211e-08,0.120263,18.979592,949.499332,36.065574,11.45
ME02,2008-04-18 17:00:00+00:00,1.575401126179421e-07,1.341460422986994e-05,6.442402819339901e-08,0.124278,17.458516,949.227541,0.0,11.45
ME02,2008-04-18 18:00:00+00:00,1.599313331499566e-07,1.4221864139866883e-05,6.75116871681618e-08,0.123776,15.675186,949.456418,38.934426,11.708333333333334
ME02,2008-04-18 19:00:00+00:00,1.5984498627709123e-07,1.1103830303216683e-05,7.735247939681681e-08,0.140835,15.951745,949.828343,61.885246,11.708333333333334
ME02,2008-04-18 20:00:00+00:00,1.6781503509329646e-07,1.64164114435904e-05,6.881771251106194e-08,0.127288,15.689491,950.200267,41.393443,11.708333333333334
ME02,2008-04-18 21:00:00+00:00,1.8762963964042902e-07,1.3762480558387312e-05,2.6117221780448865e-07,0.12779,17.42037,950.472058,5.737705,11.708333333333334
ME02,2008-04-18 22:00:00+00:00,2.431627157696684e-07,1.64845953145105e-05,5.584646580754368e-07,0.127288,17.754148,950.400534,12.295082,11.708333333333334
ME02,2008-04-18 23:00:00+00:00,4.2673967545698963e-07,5.754100490218777e-05,9.543252897442974e-07,0.131804,16.118634,950.486363,24.180328,11.708333333333334
ME02,2008-04-19 00:00:00+00:00,4.697443329770295e-07,4.876669735814713e-05,9.111623723039329e-07,0.1308,16.166317,950.114438,25.819672,11.966666666666667
ME02,2008-04-19 01:00:00+00:00,4.463024687554733e-07,4.077416299638831e-05,8.245537942578436e-07,0.135316,18.650582,949.914171,12.295082,11.966666666666667
ME02,2008-04-19 02:00:00+00:00,4.6547163224267027e-07,3.952995095548451e-05,8.751421187715807e-07,0.131302,18.803166,949.470723,13.52459,11.966666666666667
