station,time,S_log,T_log,Y_log,CO2_3,AirTemp_3,pressure_drop,WindSpeed,CO2_SO2
ME01,2008-04-19 01:00:00+00:00,2.3299040109698664e-07,3.2376568181217854e-07,4.2978350093596825e-07,0.135316,18.650582,0.2002669999999398,12.295082,11.966666666666667
ME01,2008-04-19 02:00:00+00:00,2.559287333325075e-07,2.662828080569912e-07,4.1389886445155107e-07,0.131302,18.803166,0.4434479999999894,13.52459,11.966666666666667
ME01,2008-04-19 03:00:00+00:00,1.7644768230476153e-07,3.2403338873446384e-07,1.6376487730102774e-07,0.131302,19.218005,0.05721900000003188,38.52459,11.966666666666667
ME01,2008-04-19 04:00:00+00:00,1.1998029820173438e-07,3.415865929724446e-07,1.1789351871641228e-07,0.131302,20.147816,-0.08582799999999224,53.688525,11.966666666666667
ME01,2008-04-19 05:00:00+00:00,1.1153756419525143e-07,2.4451764544424586e-07,1.051978852113821e-07,0.135316,16.528705,-0.6437160000000404,13.934426,11.966666666666667
ME01,2008-04-19 06:00:00+00:00,1.0686765642724441e-07,1.4147957699559961e-06,7.466658632513052e-08,0.140334,20.038146,-0.41483900000002905,0.409836,12.225
ME01,2008-04-19 07:00:00+00:00,9.112816888209927e-08,6.794087440565693e-07,8.439139585503922e-08,0.144348,21.325577,-0.5864959999998973,44.672131,12.225
ME01,2008-04-19 08:00:00+00:00,7.896060954960938e-08,6.03710175829105e-07,1.2553880263334815e-07,0.131302,23.328247,-0.37192400000003545,69.262295,12.225
ME01,2008-04-19 09:00:00+00:00,7.844765890470147e-08,8.534992206150118e-07,1.4299854416828857e-07,0.13632,24.315278,0.100133000000028,75.409836,12.225
ME01,2008-04-19 10:00:00+00:00,8.946091122073266e-08,3.4185517574302004e-07,2.868902464665249e-07,0.129295,24.711043,-0.04291399999999612,76.639344,12.225
ME01,2008-04-19 11:00:00+00:00,1.0044165664184513e-07,2.546721668251909e-07,3.137426521867583e-07,0.133811,23.328247,0.18596199999990404,9.836066,12.225
ME01,2008-04-19 12:00:00+00:00,8.314248645823718e-08,2.2865879239795437e-07,2.0517218308824475e-07,0.125783,22.427046,0.25748600000008537,15.983607,12.483333333333334
ME01,2008-04-19 13:00:00+00:00,8.266002545358663e-08,2.5687412843416785e-07,2.6869219799687507e-07,0.121769,21.67366,0.47205799999994724,11.885246,12.483333333333334
ME01,2008-04-19 14:00:00+00:00,5.7045555625163076e-08,2.3944771213898027e-07,1.1337305405821717e-07,0.109727,20.395766,0.8868969999999763,24.180328,12.483333333333334
ME01,2008-04-19 15:00:00+00:00,4.871935136702684e-08,2.427409032574098e-07,5.392385089909059e-08,0.121769,19.580393,0.8582870000000185,8.606557,12.483333333333334
ME01,2008-04-19 16:00:00+00:00,4.704570936218367e-08,2.6534646640301655e-07,2.9469013801114002e-08,0.120765,18.650582,0.7438490000000684,14.344262,12.483333333333334
ME01,2008-04-19 17:00:00+00:00,4.9208514814723906e-08,7.330426728074639e-07,2.430357927135052e-08,0.121267,16.795728,0.658019999999965,6.967213,12.483333333333334
ME01,2008-04-19 18:00:00+00:00,5.0525116223247115e-08,1.8448780378370184e-06,2.776727944596295e-08,0.128793,15.293725,0.7724590000000262,0.0,12.741666666666667
ME01,2008-04-19 19:00:00+00:00,5.641301643180567e-08,1.8911911076154205e-06,2.1537011961324224e-08,0.125281,14.530803,-0.05721900000003188,2.868852,12.741666666666667
ME01,2008-04-19 20:00:00+00:00,5.4841248144316085e-08,3.0810631546154025e-06,2.4859907868220714e-08,0.128292,14.011062,-0.15735300000005736,0.409836,12.741666666666667
ME01,2008-04-19 21:00:00+00:00,5.3650427052885304e-08,4.6143635488962414e-07,3.421075638110768e-08,0.132306,13.863246,-0.32900999999992564,0.0,12.741666666666667
ME01,2008-04-19 22:00:00+00:00,4.4996263274030606e-08,4.785886259376623e-07,9.742812830529443e-09,0.132306,13.543773,-0.04291399999999612,0.0,12.741666666666667
ME01,2008-04-19 23:00:00+00:00,4.1163409437610954e-08,2.701967644763311e-07,1.2491246268330267e-08,0.136821,13.100324,0.4148379999999179,0.0,12.741666666666667
ME01,2008-04-20 00:00:00+00:00,3.715127167697759e-08,2.4278290674209516e-07,9.959308253142274e-09,0.13933,12.437536,0.3862300000000687,0.0,13.0
ME01,2008-04-20 01:00:00+00:00,3.5465236941016927e-08,2.2637016749684854e-07,7.566804808790576e-09,0.139832,12.361244,0.41483800000003157,0.0,13.0
ME01,2008-04-20 02:00:00+00:00,3.228003393064248e-08,2.417763886318686e-07,9.357273751385557e-09,0.131804,13.405493,-0.3290100000000393,13.52459,13.0
ME01,2008-04-20 03:00:00+00:00,3.533158078450488e-08,2.5172250334384964e-07,9.180926914010197e-09,0.135316,13.763113,-0.1430480000000216,0.0,13.0
ME01,2008-04-20 04:00:00+00:00,3.403626400577902e-08,2.2672257426799392e-07,1.5137598244032128e-08,0.13933,13.219531,-0.2002669999999398,0.0,13.0
ME01,2008-04-20 05:00:00+00:00,3.35131621882853e-08,2.083366671602574e-07,2.1842438810412644e-08,0.139832,13.93477,-0.47205800000006093,0.0,13.0
ME01,2008-04-20 06:00:00+00:00,3.287488503533153e-08,2.390803590170467e-07,1.895303429078769e-08,0.1308,20.519741,-1.2016019999999799,0.0,12.6875
ME01,2008-04-20 07:00:00+00:00,1.0326076824783327e-07,4.178475647113267e-06,4.447287411180857e-08,0.128292,21.78333,-0.686629000000039,1.229508,12.6875
ME01,2008-04-20 08:00:00+00:00,3.187847919238955e-08,1.2179280434382188e-06,2.3255362801518017e-08,0.127288,22.479496,-0.6294110000000046,6.557377,12.6875
ME01,2008-04-20 09:00:00+00:00,3.190344638451158e-08,1.1624879025960406e-06,2.35495289651907e-08,0.124278,23.986267,-0.41483899999991536,4.918033,12.6875
ME01,2008-04-20 10:00:00+00:00,2.977942278161037e-08,2.644108171136007e-07,3.257942260146675e-08,0.120765,23.585733,-0.25748600000008537,13.934426,12.6875
ME01,2008-04-20 11:00:00+00:00,3.0453121201582324e-08,1.2486125264680347e-06,3.050803355207671e-08,0.112737,23.766927,0.20026700000005349,17.213115,12.6875
ME01,2008-04-20 12:00:00+00:00,3.989423363568817e-08,1.4021720298367173e-06,7.944028257529817e-08,0.114744,22.603471,0.1430480000000216,19.262295,12.375
ME01,2008-04-20 13:00:00+00:00,3.843198028234726e-08,5.566869367532276e-07,1.0767484543049344e-07,0.101197,24.010109,0.18596200000001772,15.163934,12.375
ME01,2008-04-20 14:00:00+00:00,3.394545159588698e-08,8.632765699872093e-07,8.782213580656248e-08,0.102702,23.95289,0.5864959999998973,9.836066,12.375
ME01,2008-04-20 15:00:00+00:00,3.75572008117277e-08,1.1263571774678253e-06,6.651672881316046e-08,0.098186,23.15659,0.5435820000000149,1.639344,12.375
ME01,2008-04-20 16:00:00+00:00,5.1333043470091756e-08,2.2464798504264324e-06,1.34707770601374e-07,0.101698,22.326912,0.22887700000001132,8.196721,12.375
ME01,2008-04-20 17:00:00+00:00,5.8102697529135666e-08,2.0047369847596504e-06,2.0474197122625832e-07,0.105713,19.942781,0.3290100000000393,0.0,12.375
ME01,2008-04-20 18:00:00+00:00,1.12442486904749e-07,1.1438456826468143e-06,3.7288497701910106e-07,0.106214,18.07839,0.3862289999999575,0.0,12.0625
ME01,2008-04-20 19:00:00+00:00,1.5712728260161443e-07,1.1621163688902004e-06,4.276352101394754e-07,0.108723,16.728972,-0.6294100000000071,0.0,12.0625
ME01,2008-04-20 20:00:00+00:00,1.4648791590273846e-07,1.0889241537910495e-06,4.0873515321962854e-07,0.109225,15.627503,-0.1430480000000216,0.0,12.0625
ME01,2008-04-20 21:00:00+00:00,1.315501793144748e-07,8.050274823074767e-07,3.7210177185088877e-07,0.125281,15.250811,0.18596200000001772,0.0,12.0625
ME01,2008-04-20 22:00:00+00:00,1.6651973376131506e-07,7.221619042186621e-07,4.181253716155004e-07,0.120765,15.765783,0.7009340000000748,0.0,12.0625
ME01,2008-04-20 23:00:00+00:00,1.513300293534516e-07,3.520612011012485e-07,2.3342284086649164e-07,0.128793,16.023269,0.557886999999937,0.0,12.0625
ME01,2008-04-21 00:00:00+00:00,1.4268799378937466e-07,1.3262471704807104e-06,1.7633777516647088e-07,0.124779,15.49876,0.486362999999983,0.0,11.75
ME01,2008-04-21 01:00:00+00:00,1.396368116398221e-07,5.947128341338175e-07,2.205715189431328e-07,0.124278,14.773984,0.6151060000000825,0.0,11.75
ME01,2008-04-21 02:00:00+00:00,1.294980359027978e-07,2.43820521799617e-07,1.666189716806712e-07,0.12779,14.421133,-0.08582899999998972,0.0,11.75
ME01,2008-04-21 03:00:00+00:00,1.0656266454234017e-07,8.469655696158796e-07,1.5682090972560994e-07,0.132306,14.278085,0.6294110000000046,0.0,11.75
ME01,2008-04-21 04:00:00+00:00,7.7699317437195e-08,1.0763945786960303e-06,8.431809970830865e-08,0.127288,13.505627,0.3147049999998899,0.409836,11.75
ME01,2008-04-21 05:00:00+00:00,7.834419787123119e-08,1.1111307869074627e-06,3.7808096323020734e-08,0.131804,13.968148,-0.3433149999999614,0.0,11.75
ME01,2008-04-21 06:00:00+00:00,7.73152784367198e-08,6.098634601976803e-07,4.0833996864561095e-08,0.12779,15.327103,-0.3290100000000393,0.0,11.4375
ME01,2008-04-21 07:00:00+00:00,7.292987616630904e-08,2.9338298060687254e-06,3.254194065722632e-08,0.131302,16.891093,-0.27179099999989376,10.655738,11.4375
ME01,2008-04-21 08:00:00+00:00,7.21148153691726e-08,3.0915757269728046e-07,6.719738996417886e-08,0.127288,18.211902,-0.9441160000000082,0.0,11.4375
ME01,2008-04-21 09:00:00+00:00,6.835332883503675e-08,1.188578499302098e-06,3.986357926906345e-08,0.132306,19.547015,-0.7009340000000748,13.114754,11.4375
ME01,2008-04-21 10:00:00+00:00,6.739575626184517e-08,7.526744217693372e-07,3.030050181114147e-08,0.123776,20.429144,0.05721900000003188,20.491803,11.4375
ME01,2008-04-21 11:00:00+00:00,7.352631575504747e-08,2.3841745314891166e-07,2.8526376789319614e-08,0.116751,20.948884,-0.05721900000003188,30.737705,11.4375
ME01,2008-04-21 12:00:00+00:00,8.302270081260032e-08,1.1531760080173773e-06,3.828746256160076e-08,0.120765,20.429144,0.5292769999999791,0.0,11.125
